,Page,Title,City,Tag,Link,Logo
0,itviec,Fullstack developer (Dự án banking),Ha Noi,Spring Angular Java,https://itviec.com/it-jobs/fullstack-developer-du-an-banking-ttc-solutions-0950?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3FPSEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0eb27ef433475005c13e96203fee848766ea5818/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/logo%20da%20chuyen%20doi.png
1,itviec,Senior Automation Engineer - Up to 3000+,Ho Chi Minh,QA QC Tester,https://itviec.com/it-jobs/senior-automation-engineer-up-to-3000-line-vietnam-4124?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVlUSHc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--365f1d53f17ef0cba1ec56819a5da21d4d7fc600/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e48ed52d99e56a5ff9747052d860ea1b318b2d76/logo.jpg
2,itviec,Infrastructure Engineer – INF01,Ho Chi Minh,System Engineer Database Networking,https://itviec.com/it-jobs/senior-system-network-engineer-tabviet-1015?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNGd4REE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--74aefe030b65f2af6fa65d26460793361c56d0b4/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/tabviet-logo.png
3,itviec,Information Security Engineer (System Admin/Networking),Ha Noi,System Engineer System Admin Networking,https://itviec.com/it-jobs/chuyen-gia-an-toan-bao-mat-thong-tin-cntt-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-1741?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMXlGSnc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4ade3dc61a60fa5ee3d7862305e931d55cab3134/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/Logo%20PNG_RGB_Digital%20use_on%20White%20BG.png
4,itviec,IT Security Operation (System Engineer/Networking),Ha Noi,System Engineer Networking Database,https://itviec.com/it-jobs/senior-it-security-operation-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-1945?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMXlGSnc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4ade3dc61a60fa5ee3d7862305e931d55cab3134/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/Logo%20PNG_RGB_Digital%20use_on%20White%20BG.png
5,itviec,"Full-stack Java Dev (SQL, JavaScript)",Ha Noi,Java JavaScript MySQL,https://itviec.com/it-jobs/full-stack-java-dev-sql-javascript-scandinavian-software-park-5219?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNHhjSlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bd2f67ce9f900e9d07965ac04fcfb17e1908d32c/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/Logo-SSP-RGB-02-01_sqrt_small.png
6,itviec,Unity Games Developer (iOS/Android),Ho Chi Minh,Unity Android Games Fresher Accepted,https://itviec.com/it-jobs/unity-games-developer-ios-android-funnii-studio-5639?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN0dLSGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--450c1da31c9923ec0cd42ad8d1aa432138b83f55/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lKYW5CbFp3WTZCa1ZVT2hOeVpYTnBlbVZmWVc1a1gzQmhaRnNIYVVacFJnPT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--7789a4205a02d1766d0919e17bdffc9f00631718/31c8eab1c723327d6b32%20-%20Vuong%20Tran.jpeg
7,itviec,Mobile Dev (React Native),Ho Chi Minh,React Native ReactJS JavaScript,https://itviec.com/it-jobs/mobile-dev-react-native-atalink-technology-3131?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXN0R2c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--17e830ee1ca30716af5ed573538534f453757159/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/download%20-%20Dung%20Bui.png
8,itviec,DevOps Engineer (AWS/Docker) - 1 month Sign On Bonus,"Ho Chi Minh
Da Nang",DevOps AWS English,https://itviec.com/it-jobs/devops-engineer-aws-docker-1-month-sign-on-bonus-codelink-3920?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNitTRGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a313d4dc5b74c9758fda4aa42a8c2e90b29ef4ac/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/codelink-logo.png
9,itviec,"Frontend Tech Lead (x5) (JavaScript, HTML5, CSS)",Ha Noi,JavaScript CSS HTML5,https://itviec.com/it-jobs/frontend-tech-lead-x5-javascript-html5-css-niteco-vietnam-co-ltd-0155?lab_feature=preview_jd_page,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNTdIR3c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1b5b561ecca2e7bde0227ed59186be284aa77c68/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/Niteco_logo-07.png
