,Page,Title,City,Tag,Link,Logo
18,itviec,Chuyên Viên Quản Lý Kênh Dịch Vụ Và Hệ Thống Thanh Toán,Hà Nội,Chuyên Viên Quản Lý Kênh Dịch Vụ Và Hệ Thống Thanh Toán,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-kenh-dich-vu-va-he-thong-thanh-toan.35BAA92E.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
19,itviec,Chuyên Viên Quản Lý Dự Án,Hà Nội,Chuyên Viên Quản Lý Dự Án,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-du-an.35BAA920.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
20,itviec,Chuyên Viên Quản Trị Hạ Tầng - Quản Trị Hệ Thống Mạng,Hà Nội,Chuyên Viên Quản Trị Hạ Tầng - Quản Trị Hệ Thống Mạng,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-ha-tang-quan-tri-he-thong-mang.35BAA92D.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
21,itviec,Python Technical Leader (Signing Bonus),Hà Nội,Python Technical Leader (Signing Bonus),https://careerbuilder.vn/vi/tim-viec-lam/python-technical-leader-signing-bonus.35BAD8B5.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
22,itviec,"Chuyên viên vận hành hệ thống phần mềm (CRM, HIS)",Hà Nội,"Chuyên viên vận hành hệ thống phần mềm (CRM, HIS)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-he-thong-phan-mem-crm-his.35BAE364.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
23,itviec,.Net Developer,Hồ Chí Minh,.Net Developer,https://careerbuilder.vn/vi/tim-viec-lam/net-developer.35BAE350.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
24,itviec,Sales Executive - Software Solutions (B2B),Hồ Chí Minh,Sales Executive - Software Solutions (B2B),https://careerbuilder.vn/vi/tim-viec-lam/sales-executive-software-solutions-b2b.35BADF93.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
25,itviec,Quản Lý Dự Án Chuyển Đổi Số,Hà Nội,Quản Lý Dự Án Chuyển Đổi Số,https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-du-an-chuyen-doi-so.35BAE1AF.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
26,itviec,Senior Full Stack Developer,Hồ Chí Minh,Senior Full Stack Developer,https://careerbuilder.vn/vi/tim-viec-lam/senior-full-stack-developer.35BAE160.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
27,itviec,Supply Chain Digital Specialist (Quang Nam),Quảng Nam,Supply Chain Digital Specialist (Quang Nam),https://careerbuilder.vn/vi/tim-viec-lam/supply-chain-digital-specialist-quang-nam.35BAA53D.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
28,itviec,Senior DevOps Engineer,Hà Nội,Senior DevOps Engineer,https://careerbuilder.vn/vi/tim-viec-lam/senior-devops-engineer.35BAA52C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
29,itviec,.Net/Java Developer,Hà Nội,.Net/Java Developer,https://careerbuilder.vn/vi/tim-viec-lam/net-java-developer.35BAA536.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
30,itviec,DevOps Engineer,Hà Nội,DevOps Engineer,https://careerbuilder.vn/vi/tim-viec-lam/devops-engineer.35BAA534.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
31,itviec,"Senior QA Engineer (Software), Global Team",Hồ Chí Minh,"Senior QA Engineer (Software), Global Team",https://careerbuilder.vn/vi/tim-viec-lam/senior-qa-engineer-software-global-team.35BAA551.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
32,itviec,.Net Developer (HCM HO),Hồ Chí Minh,.Net Developer (HCM HO),https://careerbuilder.vn/vi/tim-viec-lam/net-developer-hcm-ho.35BAA549.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
33,itviec,Chuyên viên Phân tích dữ liệu và báo cáo - K.CNTT,Hà Nội,Chuyên viên Phân tích dữ liệu và báo cáo - K.CNTT,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-va-bao-cao-k-cntt.35BAA52F.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
34,itviec,HO - Khối CNTT - Trưởng Ban Tối ưu & Thiết kế UI/UX (Chuyên môn BA),Hà Nội,HO - Khối CNTT - Trưởng Ban Tối ưu & Thiết kế UI/UX (Chuyên môn BA),https://careerbuilder.vn/vi/tim-viec-lam/ho-khoi-cntt-truong-ban-toi-uu-thiet-ke-ui-ux-chuyen-mon-ba.35BADFF1.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
35,itviec,HO - Khối CNTT - Phòng Nghiên cứu Giải pháp Công nghệ - Chuyên viên Phân tích Nghiệp vụ (Business Analyst),Hà Nội,HO - Khối CNTT - Phòng Nghiên cứu Giải pháp Công nghệ - Chuyên viên Phân tích Nghiệp vụ (Business Analyst),https://careerbuilder.vn/vi/tim-viec-lam/ho-khoi-cntt-phong-nghien-cuu-giai-phap-cong-nghe-chuyen-vien-phan-tich-nghiep-vu-business-analyst.35BADFF0.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
36,itviec,IT Staff (MIS),Hồ Chí Minh,IT Staff (MIS),https://careerbuilder.vn/vi/tim-viec-lam/it-staff-mis.35BABCB9.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
37,itviec,Kỹ sư hệ thống (System Owner),"Hà Nội
Hồ Chí Minh",Kỹ sư hệ thống (System Owner),https://careerbuilder.vn/vi/tim-viec-lam/ky-su-he-thong-system-owner.35BAE0DE.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
38,itviec,IT System Administrator (Infrastructure Specialist),Hà Nội,IT System Administrator (Infrastructure Specialist),https://careerbuilder.vn/vi/tim-viec-lam/it-system-administrator-infrastructure-specialist.35BAE06D.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
39,itviec,Nhân viên lập trình web,Hồ Chí Minh,Nhân viên lập trình web,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lap-trinh-web.35BA9F26.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
40,itviec,GIẢNG VIÊN LẬP TRÌNH,Hà Nội,GIẢNG VIÊN LẬP TRÌNH,https://careerbuilder.vn/vi/tim-viec-lam/giang-vien-lap-trinh.35BADF0C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
41,itviec,Senior Developer,Hồ Chí Minh,Senior Developer,https://careerbuilder.vn/vi/tim-viec-lam/senior-developer.35BAA080.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
